ip_address,total_attempts,unique_usernames,failed_attempts,failure_ratio,anomaly_score,is_anomaly
10.0.0.99,150,1,150,1.0,-0.14766855470899032,True
172.16.0.45,79,79,79,1.0,-0.17048952288506958,True
192.168.1.10,3,1,1,0.3333333333333333,0.1901398016834363,False
192.168.1.11,2,1,0,0.0,0.22750184060250828,False
192.168.1.12,2,1,1,0.5,0.21766171072145285,False
192.168.1.13,3,1,1,0.3333333333333333,0.1901398016834363,False
192.168.1.14,2,1,1,0.5,0.21766171072145285,False
192.168.1.15,1,1,0,0.0,0.20765479349348376,False
192.168.1.16,3,1,1,0.3333333333333333,0.1901398016834363,False
192.168.1.17,2,1,0,0.0,0.22750184060250828,False
192.168.1.18,4,1,1,0.25,0.2235628485998708,False
192.168.1.19,4,1,1,0.25,0.2235628485998708,False
192.168.1.20,3,1,0,0.0,0.1578620581792235,False
192.168.1.21,1,1,0,0.0,0.20765479349348376,False
192.168.1.22,4,1,0,0.0,0.11731959535148406,False
192.168.1.23,4,1,1,0.25,0.2235628485998708,False
192.168.1.24,1,1,0,0.0,0.20765479349348376,False
192.168.1.25,2,1,0,0.0,0.22750184060250828,False
192.168.1.26,4,1,0,0.0,0.11731959535148406,False
192.168.1.27,3,1,1,0.3333333333333333,0.1901398016834363,False
192.168.1.28,2,1,1,0.5,0.21766171072145285,False
192.168.1.29,1,1,0,0.0,0.20765479349348376,False
192.168.1.30,2,1,0,0.0,0.22750184060250828,False
192.168.1.31,4,1,1,0.25,0.2235628485998708,False
192.168.1.32,1,1,0,0.0,0.20765479349348376,False
192.168.1.33,3,1,0,0.0,0.1578620581792235,False
192.168.1.34,2,1,0,0.0,0.22750184060250828,False
192.168.1.35,2,1,1,0.5,0.21766171072145285,False
192.168.1.36,4,1,1,0.25,0.2235628485998708,False
192.168.1.37,4,1,1,0.25,0.2235628485998708,False
192.168.1.38,3,1,0,0.0,0.1578620581792235,False
192.168.1.39,1,1,0,0.0,0.20765479349348376,False
192.168.1.40,1,1,1,1.0,-0.0006134180809460599,True
192.168.1.41,2,1,0,0.0,0.22750184060250828,False
192.168.1.42,1,1,0,0.0,0.20765479349348376,False
192.168.1.43,4,1,1,0.25,0.2235628485998708,False
192.168.1.44,1,1,0,0.0,0.20765479349348376,False
192.168.1.45,2,1,1,0.5,0.21766171072145285,False
192.168.1.46,2,1,0,0.0,0.22750184060250828,False
192.168.1.47,4,1,0,0.0,0.11731959535148406,False
192.168.1.48,4,1,2,0.5,0.011654943537975804,False
192.168.1.49,2,1,1,0.5,0.21766171072145285,False
